Time [s],Servo [rad],Table angle [rad]
0.0,-0.03490555555555556,-0.01977098626884244
0.008,-0.03490555555555556,-0.006721607483713754
0.016,-0.03490555555555556,-0.0167595911645817
0.024,-0.03490555555555556,0.00030498109289389674
0.032,-0.03490555555555556,-0.009733002587974493
0.04,-0.03490555555555556,-0.007725405851800815
0.049,-0.03490555555555556,-0.020774784636929056
0.057,-0.03490555555555556,-0.007725405851800815
0.065,-0.03490555555555556,-0.007725405851800815
0.073,-0.03490555555555556,-0.01073680095606111
0.081,-0.03490555555555556,-0.01776338953266876
0.089,-0.03490555555555556,-0.013748196060321405
0.097,-0.03490555555555556,-0.012744397692234788
0.105,-0.03490555555555556,-0.009733002587974493
0.113,-0.03490555555555556,-0.009733002587974493
0.121,-0.03490555555555556,-0.009733002587974493
0.129,-0.03490555555555556,-0.012744397692234788
0.137,-0.03490555555555556,-0.003710212379453459
0.145,-0.03490555555555556,-0.01776338953266876
0.153,-0.03490555555555556,-0.01073680095606111
0.161,-0.03490555555555556,-0.008729204219887432
0.169,-0.03490555555555556,-0.013748196060321405
0.178,-0.03490555555555556,-0.015755792796495083
0.186,-0.03490555555555556,-0.009733002587974493
0.194,-0.03490555555555556,-0.011740599324147727
0.202,-0.03490555555555556,-0.0027064140113668422
0.21,-0.03490555555555556,-0.013748196060321405
0.218,-0.03490555555555556,-0.018767187900755378
0.226,-0.03490555555555556,-0.012744397692234788
0.234,-0.03490555555555556,-0.00471401074754052
0.242,-0.03490555555555556,-0.01073680095606111
0.25,-0.03490555555555556,-0.003710212379453459
0.258,-0.03490555555555556,-0.012744397692234788
0.266,-0.03490555555555556,-0.007725405851800815
0.274,-0.03490555555555556,-0.012744397692234788
0.282,-0.03490555555555556,-0.003710212379453459
0.29,-0.03490555555555556,-0.015755792796495083
0.298,-0.03490555555555556,-0.008729204219887432
0.306,-0.03490555555555556,-0.007725405851800815
0.314,-0.03490555555555556,-0.008729204219887432
0.322,-0.03490555555555556,-0.0006988172751931643
0.33,-0.03490555555555556,-0.009733002587974493
