Time [s],Servo [rad],Table angle [rad]
0.0,-0.03490555555555556,-0.011740599324147727
0.009,-0.03490555555555556,-0.007725405851800815
0.017,-0.03490555555555556,-0.0167595911645817
0.025,-0.03490555555555556,-0.00471401074754052
0.033,-0.03490555555555556,-0.01977098626884244
0.041,-0.03490555555555556,-0.009733002587974493
0.049,-0.03490555555555556,-0.01977098626884244
0.057,-0.03490555555555556,-0.0167595911645817
0.065,-0.03490555555555556,-0.01776338953266876
0.073,-0.03490555555555556,-0.013748196060321405
0.081,-0.03490555555555556,-0.0167595911645817
0.089,-0.03490555555555556,-0.013748196060321405
0.097,-0.03490555555555556,-0.01776338953266876
0.105,-0.03490555555555556,-0.008729204219887432
0.113,-0.03490555555555556,-0.022782381373102734
0.121,-0.03490555555555556,-0.009733002587974493
0.129,-0.03490555555555556,-0.015755792796495083
0.137,-0.03490555555555556,-0.013748196060321405
0.145,-0.03490555555555556,-0.014751994428408466
0.152,-0.03490555555555556,-0.0167595911645817
0.161,-0.03490555555555556,-0.02378617974118935
0.169,-0.03490555555555556,-0.008729204219887432
0.177,-0.03490555555555556,-0.015755792796495083
0.185,-0.03490555555555556,-0.005717809115627137
0.193,-0.03490555555555556,-0.027801373213536706
0.201,-0.03490555555555556,-0.01073680095606111
0.209,-0.03490555555555556,-0.01977098626884244
0.217,-0.03490555555555556,-0.007725405851800815
0.225,-0.03490555555555556,-0.01776338953266876
0.232,-0.03490555555555556,-0.005717809115627137
0.241,-0.03490555555555556,-0.013748196060321405
0.249,-0.03490555555555556,-0.0167595911645817
0.257,-0.03490555555555556,-0.0167595911645817
0.265,-0.03490555555555556,-0.014751994428408466
0.272,-0.03490555555555556,-0.014751994428408466
0.281,-0.03490555555555556,-0.01073680095606111
0.289,-0.03490555555555556,-0.0167595911645817
0.296,-0.03490555555555556,-0.009733002587974493
0.305,-0.03490555555555556,-0.020774784636929056
0.313,-0.03490555555555556,-0.006721607483713754
0.321,-0.03490555555555556,-0.014751994428408466
0.329,-0.03490555555555556,-0.013748196060321405
0.337,-0.03490555555555556,-0.01977098626884244
0.345,-0.03490555555555556,-0.009733002587974493
0.353,-0.03490555555555556,-0.015755792796495083
0.361,-0.03490555555555556,-0.01776338953266876
0.369,-0.03490555555555556,-0.01776338953266876
0.377,-0.03490555555555556,-0.011740599324147727
0.385,-0.03490555555555556,-0.009733002587974493
0.393,-0.03490555555555556,-0.01073680095606111
0.401,-0.03490555555555556,-0.007725405851800815
0.409,-0.03490555555555556,-0.014751994428408466
0.417,-0.03490555555555556,-0.014751994428408466
0.425,-0.03490555555555556,-0.012744397692234788
0.433,-0.03490555555555556,-0.022782381373102734
0.441,-0.03490555555555556,-0.00471401074754052
0.449,-0.03490555555555556,-0.013748196060321405
0.457,-0.03490555555555556,-0.01776338953266876
0.465,-0.03490555555555556,-0.013748196060321405
0.473,-0.03490555555555556,-0.020774784636929056
0.481,-0.03490555555555556,-0.008729204219887432
0.489,-0.03490555555555556,-0.015755792796495083
0.497,-0.03490555555555556,-0.008729204219887432
0.505,-0.03490555555555556,-0.013748196060321405
0.513,-0.03490555555555556,-0.011740599324147727
0.521,-0.03490555555555556,-0.018767187900755378
0.529,-0.03490555555555556,-0.014751994428408466
0.537,-0.03490555555555556,-0.022782381373102734
0.545,-0.03490555555555556,-0.012744397692234788
0.553,-0.03490555555555556,-0.015755792796495083
0.561,-0.03490555555555556,-0.014751994428408466
0.569,-0.03490555555555556,-0.014751994428408466
0.577,-0.03490555555555556,-0.005717809115627137
0.585,-0.03490555555555556,-0.011740599324147727
0.594,-0.03490555555555556,-0.003710212379453459
0.602,-0.03490555555555556,-0.0167595911645817
0.61,-0.03490555555555556,-0.003710212379453459
0.617,-0.03490555555555556,-0.020774784636929056
0.626,-0.03490555555555556,-0.012744397692234788
0.633,-0.03490555555555556,-0.021778583005015673
